movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
9456,False,2,58005,Directing,Bharat Nalluri,Bharat Nalluri,1.388,/pnlgtynkb3V3ZceesAw6Zda6yV7.jpg,52fe44f9c3a36847f80b5459,Directing,Director
9458,False,2,23393,Directing,Barbet Schroeder,Barbet Schroeder,2.341,/rTVMVasBFbTt1KDl5N1FvU2dZ4D.jpg,52fe44fac3a36847f80b5565,Directing,Director
9460,False,2,57832,Directing,Daniel Lee Yan-Kong,Daniel Lee Yan-Kong,2.556,/krh7BlbDEov6T1EC7eoBJGAm5dw.jpg,52fe44fac3a36847f80b5675,Directing,Director
9461,False,2,57727,Directing,Robert Clouse,Robert Clouse,3.089,/q1lEWMEJOmiIwEteGtZIdsscq6l.jpg,52fe44fac3a36847f80b56e7,Directing,Director
9463,False,2,57730,Directing,Toyoo Ashida,Toyoo Ashida,2.202,/ol3Y4v3rx1vnq3VFv4VvCwxMvMT.jpg,52fe44fac3a36847f80b5849,Directing,Director
9465,False,2,9789,Directing,Robert Altman,Robert Altman,4.023,/wB1R6patGi35oaxKU5PWEGJlIZg.jpg,52fe44fbc3a36847f80b5919,Directing,Director
9466,False,2,1243,Directing,Woody Allen,Woody Allen,15.661,/wcPQgZLDibuej1RwNTy1R2U2ZJw.jpg,52fe44fbc3a36847f80b598b,Directing,Director
9468,False,2,3768,Directing,Xaver Schwarzenberger,Xaver Schwarzenberger,1.966,/sFusGdTURBrwWvUvdaFpyv9F7Io.jpg,52fe44fbc3a36847f80b5a19,Directing,Director
9469,False,2,5281,Directing,Spike Lee,Spike Lee,5.188,/2KOHXgk2uoRXl6u7V9xpAIo3uay.jpg,52fe44fbc3a36847f80b5a7d,Directing,Director
9472,False,2,57633,Directing,Rawson Marshall Thurber,Rawson Marshall Thurber,3.476,/4gpzB12oy73qr5nWNNyZICz9nFB.jpg,52fe44fbc3a36847f80b5c7f,Directing,Director
9474,False,2,57639,Directing,Tonino Valerii,Tonino Valerii,3.213,/hnBfZg4RnaWuOINmxMquhHPkDtM.jpg,52fe44fcc3a36847f80b5db3,Directing,Director
9475,False,2,769,Directing,Martin Brest,Martin Brest,4.495,/bqR72AZbmi0CnLarTpOv9YA9IzG.jpg,52fe44fcc3a36847f80b5e55,Directing,Director
9477,False,2,20907,Directing,Antoine Fuqua,Antoine Fuqua,8.913,/9zh0MmYIw1BP8V7y9N9K5Rjew4C.jpg,52fe44fcc3a36847f80b5fab,Directing,Director
9478,False,2,21737,Directing,Marc Rothemund,Marc Rothemund,1.949,/gSlf3Rt5MuieXMYoJi9KKG1oztV.jpg,52fe44fcc3a36847f80b6029,Directing,Director
9479,False,2,57646,Directing,Henry Selick,Henry Selick,7.648,/2LvtcpV8njWrp2W9eXmTNjsAWev.jpg,52fe44fdc3a36847f80b60bb,Directing,Director
9481,False,2,13015,Directing,Phillip Noyce,Phillip Noyce,4.571,/t41FK8X4egnSLNDexVUZ5yGq3XB.jpg,52fe44fdc3a36847f80b61c9,Directing,Director
9482,False,2,33279,Directing,Danny Cannon,Danny Cannon,1.466,,52fe44fdc3a36847f80b62b9,Directing,Director
9488,False,2,2294,Directing,Robert Rodriguez,Robert Rodriguez,11.56,/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg,52fe44fec3a36847f80b65a3,Directing,Director
9490,False,1,57691,Directing,Tamra Davis,Tamra Davis,1.488,/mo2IRqEOj7sfqJR9Ev75WLhnFXC.jpg,52fe44fec3a36847f80b66bb,Directing,Director
9491,False,1,14392,Directing,Kathryn Bigelow,Kathryn Bigelow,6.636,/7wiMnFR6WP9SK870AvNQ3LccLi7.jpg,52fe44fec3a36847f80b6735,Directing,Director
